"Mrs. Theresa Herring","LANG-3981"
"Amy Allen","STSO-3850"
"Amy Allen","CHEM-7687"
"Roger Parker","BIOL-4011"
"Roger Parker","ECSE-4571"
"David Scott","ARCH-7668"
"Nicole Juarez","MATH-1079"
"Nicole Juarez","MATH-9779"
"Justin Holland","ARCH-5291"
"Justin Holland","COGS-7911"
"Justin Holland","STSO-2823"
"Crystal Gilmore","CSCI-1777"
"Crystal Gilmore","CSCI-5023"
"Sheri Phillips","PSYC-6051"
"Sheri Phillips","MATH-8752"
"Sheri Phillips","COGS-1363"
"Troy Nelson","MATH-3894"
"Amanda Jenkins","ECON-2818"
"Amanda Jenkins","COGS-7287"
"Lisa Hansen","ENGR-3478"
"Lisa Hansen","MATH-2934"
"Lisa Hansen","CSCI-2542"
"Dennis Cochran","MGMT-4611"
"Dennis Cochran","MATH-9843"
"Dennis Cochran","LANG-8367"
"David Waller","CHEM-1963"
"Sherry Mcgee","CSCI-1038"
"Sherry Mcgee","ECSE-1512"
"Jacob Parsons","ECON-4291"
"Jacob Parsons","LANG-2358"
"Jacob Parsons","ECON-1298"
"Nancy Hunt","PSYC-8075"
"Karen Boone","STSO-6899"
"Wendy Castillo","PSYC-2973"
"Wendy Castillo","ARCH-9962"
"Wendy Castillo","MGMT-1644"
"Edward Hernandez","CHEM-7687"
"Richard Frank","ECON-7764"
"Richard Frank","STSO-6899"
"Richard Frank","CHEM-1999"
"Kimberly Hunt","CSCI-6607"
"Kimberly Hunt","ITEC-3358"
"Kimberly Hunt","ARCH-1790"
"Tracy Rose","ITEC-2883"
"Tracy Rose","ARCH-8843"
"Dr. Lorraine Morris","BIOL-3377"
"Dr. Lorraine Morris","ARCH-9962"
"Jeffrey Klein","MGMT-3535"
"Jeffrey Klein","MATH-5669"
"Jeffrey Klein","ARCH-9962"
"Aaron Mcdonald","COGS-8857"
"Aaron Mcdonald","PSYC-1360"
"Jermaine Mayo","ECSE-7314"
"Jermaine Mayo","ARCH-7369"
"Jermaine Mayo","BIOL-7088"
"John Olson","MGMT-3535"
"Stephanie Fields","ECON-9818"
"Mary Gilbert","CSCI-3633"
"Mary Gilbert","CHEM-1584"
"Michelle Bowers","CSCI-5085"
"Michelle Bowers","CSCI-2137"
"Michelle Bowers","ENGR-3618"
"Cynthia Larson","STSO-3508"
"Cynthia Larson","CSCI-1704"
"Janice George","PSYC-8944"
"Janice George","BIOL-6076"
"Janice George","BIOL-1503"
"Molly Wright","CSCI-6766"
"Sean Bryant","LANG-4384"
"Sean Bryant","STSO-5464"
"Jessica Stanley","ARCH-8843"
"Shaun Smith","CSCI-7708"
"Scott Duncan","ECON-6169"
